file_name,measurement_name,value,number_of_threads,adaptive,model
data_benchmark_scaling/df1h.raw,Static compression time,3409,1,0,0
data_benchmark_scaling/df1hvx.raw,Static compression time,2513,1,0,0
data_benchmark_scaling/df1v.raw,Static compression time,1744,1,0,0
data_benchmark_scaling/hd01.raw,Static compression time,2524,1,0,0
data_benchmark_scaling/hd02.raw,Static compression time,2515,1,0,0
data_benchmark_scaling/hd07.raw,Static compression time,3234,1,0,0
data_benchmark_scaling/hd08.raw,Static compression time,2802,1,0,0
data_benchmark_scaling/hd09.raw,Static compression time,3800,1,0,0
data_benchmark_scaling/hd12.raw,Static compression time,3223,1,0,0
data_benchmark_scaling/nk01.raw,Static compression time,3213,1,0,0
data_benchmark_scaling/df1h.raw,Static compression time,1895,2,0,0
data_benchmark_scaling/df1hvx.raw,Static compression time,1407,2,0,0
data_benchmark_scaling/df1v.raw,Static compression time,847,2,0,0
data_benchmark_scaling/hd01.raw,Static compression time,1373,2,0,0
data_benchmark_scaling/hd02.raw,Static compression time,1306,2,0,0
data_benchmark_scaling/hd07.raw,Static compression time,1896,2,0,0
data_benchmark_scaling/hd08.raw,Static compression time,1564,2,0,0
data_benchmark_scaling/hd09.raw,Static compression time,2019,2,0,0
data_benchmark_scaling/hd12.raw,Static compression time,1739,2,0,0
data_benchmark_scaling/nk01.raw,Static compression time,1753,2,0,0
data_benchmark_scaling/df1h.raw,Static compression time,1052,4,0,0
data_benchmark_scaling/df1hvx.raw,Static compression time,770,4,0,0
data_benchmark_scaling/df1v.raw,Static compression time,501,4,0,0
data_benchmark_scaling/hd01.raw,Static compression time,748,4,0,0
data_benchmark_scaling/hd02.raw,Static compression time,783,4,0,0
data_benchmark_scaling/hd07.raw,Static compression time,1005,4,0,0
data_benchmark_scaling/hd08.raw,Static compression time,965,4,0,0
data_benchmark_scaling/hd09.raw,Static compression time,1176,4,0,0
data_benchmark_scaling/hd12.raw,Static compression time,1021,4,0,0
data_benchmark_scaling/nk01.raw,Static compression time,987,4,0,0
data_benchmark_scaling/df1h.raw,Static compression time,554,8,0,0
data_benchmark_scaling/df1hvx.raw,Static compression time,419,8,0,0
data_benchmark_scaling/df1v.raw,Static compression time,268,8,0,0
data_benchmark_scaling/hd01.raw,Static compression time,482,8,0,0
data_benchmark_scaling/hd02.raw,Static compression time,478,8,0,0
data_benchmark_scaling/hd07.raw,Static compression time,528,8,0,0
data_benchmark_scaling/hd08.raw,Static compression time,559,8,0,0
data_benchmark_scaling/hd09.raw,Static compression time,669,8,0,0
data_benchmark_scaling/hd12.raw,Static compression time,544,8,0,0
data_benchmark_scaling/nk01.raw,Static compression time,536,8,0,0
data_benchmark_scaling/df1h.raw,Static compression time,385,16,0,0
data_benchmark_scaling/df1hvx.raw,Static compression time,255,16,0,0
data_benchmark_scaling/df1v.raw,Static compression time,174,16,0,0
data_benchmark_scaling/hd01.raw,Static compression time,275,16,0,0
data_benchmark_scaling/hd02.raw,Static compression time,284,16,0,0
data_benchmark_scaling/hd07.raw,Static compression time,383,16,0,0
data_benchmark_scaling/hd08.raw,Static compression time,315,16,0,0
data_benchmark_scaling/hd09.raw,Static compression time,346,16,0,0
data_benchmark_scaling/hd12.raw,Static compression time,486,16,0,0
data_benchmark_scaling/nk01.raw,Static compression time,302,16,0,0
data_benchmark_scaling/df1h.raw,Static compression time,1098,32,0,0
data_benchmark_scaling/df1hvx.raw,Static compression time,1296,32,0,0
data_benchmark_scaling/df1v.raw,Static compression time,1289,32,0,0
data_benchmark_scaling/hd01.raw,Static compression time,1010,32,0,0
data_benchmark_scaling/hd02.raw,Static compression time,1101,32,0,0
data_benchmark_scaling/hd07.raw,Static compression time,1619,32,0,0
data_benchmark_scaling/hd08.raw,Static compression time,1276,32,0,0
data_benchmark_scaling/hd09.raw,Static compression time,1317,32,0,0
data_benchmark_scaling/hd12.raw,Static compression time,1688,32,0,0
data_benchmark_scaling/nk01.raw,Static compression time,1273,32,0,0
data_benchmark_scaling/df1h.raw,Adaptive compression time,5466,1,1,0
data_benchmark_scaling/df1hvx.raw,Adaptive compression time,5957,1,1,0
data_benchmark_scaling/df1v.raw,Adaptive compression time,5915,1,1,0
data_benchmark_scaling/hd01.raw,Adaptive compression time,6026,1,1,0
data_benchmark_scaling/hd02.raw,Adaptive compression time,6138,1,1,0
data_benchmark_scaling/hd07.raw,Adaptive compression time,6823,1,1,0
data_benchmark_scaling/hd08.raw,Adaptive compression time,6504,1,1,0
data_benchmark_scaling/hd09.raw,Adaptive compression time,7252,1,1,0
data_benchmark_scaling/hd12.raw,Adaptive compression time,6735,1,1,0
data_benchmark_scaling/nk01.raw,Adaptive compression time,6876,1,1,0
data_benchmark_scaling/df1h.raw,Adaptive compression time,2832,2,1,0
data_benchmark_scaling/df1hvx.raw,Adaptive compression time,3095,2,1,0
data_benchmark_scaling/df1v.raw,Adaptive compression time,3049,2,1,0
data_benchmark_scaling/hd01.raw,Adaptive compression time,3211,2,1,0
data_benchmark_scaling/hd02.raw,Adaptive compression time,3172,2,1,0
data_benchmark_scaling/hd07.raw,Adaptive compression time,3490,2,1,0
data_benchmark_scaling/hd08.raw,Adaptive compression time,3367,2,1,0
data_benchmark_scaling/hd09.raw,Adaptive compression time,3717,2,1,0
data_benchmark_scaling/hd12.raw,Adaptive compression time,3467,2,1,0
data_benchmark_scaling/nk01.raw,Adaptive compression time,3531,2,1,0
data_benchmark_scaling/df1h.raw,Adaptive compression time,1434,4,1,0
data_benchmark_scaling/df1hvx.raw,Adaptive compression time,1664,4,1,0
data_benchmark_scaling/df1v.raw,Adaptive compression time,1544,4,1,0
data_benchmark_scaling/hd01.raw,Adaptive compression time,1656,4,1,0
data_benchmark_scaling/hd02.raw,Adaptive compression time,1638,4,1,0
data_benchmark_scaling/hd07.raw,Adaptive compression time,1854,4,1,0
data_benchmark_scaling/hd08.raw,Adaptive compression time,1835,4,1,0
data_benchmark_scaling/hd09.raw,Adaptive compression time,2026,4,1,0
data_benchmark_scaling/hd12.raw,Adaptive compression time,1978,4,1,0
data_benchmark_scaling/nk01.raw,Adaptive compression time,1909,4,1,0
data_benchmark_scaling/df1h.raw,Adaptive compression time,797,8,1,0
data_benchmark_scaling/df1hvx.raw,Adaptive compression time,849,8,1,0
data_benchmark_scaling/df1v.raw,Adaptive compression time,836,8,1,0
data_benchmark_scaling/hd01.raw,Adaptive compression time,1153,8,1,0
data_benchmark_scaling/hd02.raw,Adaptive compression time,951,8,1,0
data_benchmark_scaling/hd07.raw,Adaptive compression time,1039,8,1,0
data_benchmark_scaling/hd08.raw,Adaptive compression time,1125,8,1,0
data_benchmark_scaling/hd09.raw,Adaptive compression time,1099,8,1,0
data_benchmark_scaling/hd12.raw,Adaptive compression time,1055,8,1,0
data_benchmark_scaling/nk01.raw,Adaptive compression time,1007,8,1,0
data_benchmark_scaling/df1h.raw,Adaptive compression time,459,16,1,0
data_benchmark_scaling/df1hvx.raw,Adaptive compression time,477,16,1,0
data_benchmark_scaling/df1v.raw,Adaptive compression time,487,16,1,0
data_benchmark_scaling/hd01.raw,Adaptive compression time,646,16,1,0
data_benchmark_scaling/hd02.raw,Adaptive compression time,630,16,1,0
data_benchmark_scaling/hd07.raw,Adaptive compression time,634,16,1,0
data_benchmark_scaling/hd08.raw,Adaptive compression time,870,16,1,0
data_benchmark_scaling/hd09.raw,Adaptive compression time,604,16,1,0
data_benchmark_scaling/hd12.raw,Adaptive compression time,683,16,1,0
data_benchmark_scaling/nk01.raw,Adaptive compression time,615,16,1,0
data_benchmark_scaling/df1h.raw,Adaptive compression time,1684,32,1,0
data_benchmark_scaling/df1hvx.raw,Adaptive compression time,1258,32,1,0
data_benchmark_scaling/df1v.raw,Adaptive compression time,2087,32,1,0
data_benchmark_scaling/hd01.raw,Adaptive compression time,1639,32,1,0
data_benchmark_scaling/hd02.raw,Adaptive compression time,2033,32,1,0
data_benchmark_scaling/hd07.raw,Adaptive compression time,2412,32,1,0
data_benchmark_scaling/hd08.raw,Adaptive compression time,1340,32,1,0
data_benchmark_scaling/hd09.raw,Adaptive compression time,2126,32,1,0
data_benchmark_scaling/hd12.raw,Adaptive compression time,1714,32,1,0
data_benchmark_scaling/nk01.raw,Adaptive compression time,2731,32,1,0
data_benchmark_scaling/df1h.raw,Static compression with model time,1957,1,0,1
data_benchmark_scaling/df1hvx.raw,Static compression with model time,2378,1,0,1
data_benchmark_scaling/df1v.raw,Static compression with model time,1915,1,0,1
data_benchmark_scaling/hd01.raw,Static compression with model time,2664,1,0,1
data_benchmark_scaling/hd02.raw,Static compression with model time,2639,1,0,1
data_benchmark_scaling/hd07.raw,Static compression with model time,3799,1,0,1
data_benchmark_scaling/hd08.raw,Static compression with model time,3222,1,0,1
data_benchmark_scaling/hd09.raw,Static compression with model time,4391,1,0,1
data_benchmark_scaling/hd12.raw,Static compression with model time,3811,1,0,1
data_benchmark_scaling/nk01.raw,Static compression with model time,3284,1,0,1
data_benchmark_scaling/df1h.raw,Static compression with model time,1038,2,0,1
data_benchmark_scaling/df1hvx.raw,Static compression with model time,1324,2,0,1
data_benchmark_scaling/df1v.raw,Static compression with model time,1041,2,0,1
data_benchmark_scaling/hd01.raw,Static compression with model time,1436,2,0,1
data_benchmark_scaling/hd02.raw,Static compression with model time,1436,2,0,1
data_benchmark_scaling/hd07.raw,Static compression with model time,2029,2,0,1
data_benchmark_scaling/hd08.raw,Static compression with model time,1736,2,0,1
data_benchmark_scaling/hd09.raw,Static compression with model time,2490,2,0,1
data_benchmark_scaling/hd12.raw,Static compression with model time,2055,2,0,1
data_benchmark_scaling/nk01.raw,Static compression with model time,1763,2,0,1
data_benchmark_scaling/df1h.raw,Static compression with model time,535,4,0,1
data_benchmark_scaling/df1hvx.raw,Static compression with model time,711,4,0,1
data_benchmark_scaling/df1v.raw,Static compression with model time,540,4,0,1
data_benchmark_scaling/hd01.raw,Static compression with model time,777,4,0,1
data_benchmark_scaling/hd02.raw,Static compression with model time,783,4,0,1
data_benchmark_scaling/hd07.raw,Static compression with model time,1198,4,0,1
data_benchmark_scaling/hd08.raw,Static compression with model time,1055,4,0,1
data_benchmark_scaling/hd09.raw,Static compression with model time,1324,4,0,1
data_benchmark_scaling/hd12.raw,Static compression with model time,1166,4,0,1
data_benchmark_scaling/nk01.raw,Static compression with model time,1321,4,0,1
data_benchmark_scaling/df1h.raw,Static compression with model time,322,8,0,1
data_benchmark_scaling/df1hvx.raw,Static compression with model time,426,8,0,1
data_benchmark_scaling/df1v.raw,Static compression with model time,305,8,0,1
data_benchmark_scaling/hd01.raw,Static compression with model time,587,8,0,1
data_benchmark_scaling/hd02.raw,Static compression with model time,516,8,0,1
data_benchmark_scaling/hd07.raw,Static compression with model time,717,8,0,1
data_benchmark_scaling/hd08.raw,Static compression with model time,1293,8,0,1
data_benchmark_scaling/hd09.raw,Static compression with model time,786,8,0,1
data_benchmark_scaling/hd12.raw,Static compression with model time,771,8,0,1
data_benchmark_scaling/nk01.raw,Static compression with model time,663,8,0,1
data_benchmark_scaling/df1h.raw,Static compression with model time,214,16,0,1
data_benchmark_scaling/df1hvx.raw,Static compression with model time,274,16,0,1
data_benchmark_scaling/df1v.raw,Static compression with model time,214,16,0,1
data_benchmark_scaling/hd01.raw,Static compression with model time,558,16,0,1
data_benchmark_scaling/hd02.raw,Static compression with model time,359,16,0,1
data_benchmark_scaling/hd07.raw,Static compression with model time,449,16,0,1
data_benchmark_scaling/hd08.raw,Static compression with model time,654,16,0,1
data_benchmark_scaling/hd09.raw,Static compression with model time,633,16,0,1
data_benchmark_scaling/hd12.raw,Static compression with model time,526,16,0,1
data_benchmark_scaling/nk01.raw,Static compression with model time,554,16,0,1
data_benchmark_scaling/df1h.raw,Static compression with model time,1159,32,0,1
data_benchmark_scaling/df1hvx.raw,Static compression with model time,1436,32,0,1
data_benchmark_scaling/df1v.raw,Static compression with model time,1022,32,0,1
data_benchmark_scaling/hd01.raw,Static compression with model time,2976,32,0,1
