file_name,measurement_name,value,number_of_threads,adaptive,model
data_benchmark/df1h.raw,Static compression time,1984,1,0,0
data_benchmark/df1hvx.raw,Static compression time,1396,1,0,0
data_benchmark/df1v.raw,Static compression time,742,1,0,0
data_benchmark/hd01.raw,Static compression time,1270,1,0,0
data_benchmark/hd02.raw,Static compression time,1281,1,0,0
data_benchmark/hd07.raw,Static compression time,1717,1,0,0
data_benchmark/hd08.raw,Static compression time,1527,1,0,0
data_benchmark/hd09.raw,Static compression time,2080,1,0,0
data_benchmark/hd12.raw,Static compression time,2030,1,0,0
data_benchmark/nk01.raw,Static compression time,1842,1,0,0
data_benchmark/df1h.raw,Static compression time,1297,2,0,0
data_benchmark/df1hvx.raw,Static compression time,777,2,0,0
data_benchmark/df1v.raw,Static compression time,400,2,0,0
data_benchmark/hd01.raw,Static compression time,932,2,0,0
data_benchmark/hd02.raw,Static compression time,703,2,0,0
data_benchmark/hd07.raw,Static compression time,960,2,0,0
data_benchmark/hd08.raw,Static compression time,914,2,0,0
data_benchmark/hd09.raw,Static compression time,1940,2,0,0
data_benchmark/hd12.raw,Static compression time,1007,2,0,0
data_benchmark/nk01.raw,Static compression time,1009,2,0,0
data_benchmark/df1h.raw,Static compression time,948,4,0,0
data_benchmark/df1hvx.raw,Static compression time,714,4,0,0
data_benchmark/df1v.raw,Static compression time,282,4,0,0
data_benchmark/hd01.raw,Static compression time,566,4,0,0
data_benchmark/hd02.raw,Static compression time,663,4,0,0
data_benchmark/hd07.raw,Static compression time,852,4,0,0
data_benchmark/hd08.raw,Static compression time,591,4,0,0
data_benchmark/hd09.raw,Static compression time,740,4,0,0
data_benchmark/hd12.raw,Static compression time,722,4,0,0
data_benchmark/nk01.raw,Static compression time,948,4,0,0
data_benchmark/df1h.raw,Static compression time,486,8,0,0
data_benchmark/df1hvx.raw,Static compression time,381,8,0,0
data_benchmark/df1v.raw,Static compression time,216,8,0,0
data_benchmark/hd01.raw,Static compression time,430,8,0,0
data_benchmark/hd02.raw,Static compression time,368,8,0,0
data_benchmark/hd07.raw,Static compression time,480,8,0,0
data_benchmark/hd08.raw,Static compression time,438,8,0,0
data_benchmark/hd09.raw,Static compression time,562,8,0,0
data_benchmark/hd12.raw,Static compression time,480,8,0,0
data_benchmark/nk01.raw,Static compression time,503,8,0,0
data_benchmark/df1h.raw,Static compression time,31985,16,0,0
data_benchmark/df1hvx.raw,Static compression time,34988,16,0,0
data_benchmark/df1v.raw,Static compression time,251,16,0,0
data_benchmark/hd01.raw,Static compression time,361,16,0,0
data_benchmark/hd02.raw,Static compression time,329,16,0,0
data_benchmark/hd07.raw,Static compression time,494,16,0,0
data_benchmark/hd08.raw,Static compression time,492,16,0,0
data_benchmark/hd09.raw,Static compression time,20547,16,0,0
data_benchmark/hd12.raw,Static compression time,3023,16,0,0
data_benchmark/nk01.raw,Static compression time,36991,16,0,0
data_benchmark/df1h.raw,Static compression time,1168,32,0,0
data_benchmark/df1hvx.raw,Static compression time,1185,32,0,0
data_benchmark/df1v.raw,Static compression time,963,32,0,0
data_benchmark/hd01.raw,Static compression time,1064,32,0,0
data_benchmark/hd02.raw,Static compression time,967,32,0,0
data_benchmark/hd07.raw,Static compression time,1173,32,0,0
data_benchmark/hd08.raw,Static compression time,1678,32,0,0
data_benchmark/hd09.raw,Static compression time,1057,32,0,0
