file_name,measurement_name,value,number_of_threads,adaptive,model
data_benchmark/df1h.raw,Full execution time,4202,1,0,0
data_benchmark/df1hvx.raw,Full execution time,2843,1,0,0
data_benchmark/df1v.raw,Full execution time,2460,1,0,0
data_benchmark/hd01.raw,Full execution time,3015,1,0,0
data_benchmark/hd02.raw,Full execution time,2763,1,0,0
data_benchmark/hd07.raw,Full execution time,3459,1,0,0
data_benchmark/hd08.raw,Full execution time,3168,1,0,0
data_benchmark/hd09.raw,Full execution time,4132,1,0,0
data_benchmark/hd12.raw,Full execution time,3451,1,0,0
data_benchmark/nk01.raw,Full execution time,3769,1,0,0
data_benchmark/df1h.raw,Full execution time,2944,2,0,0
data_benchmark/df1hvx.raw,Full execution time,2332,2,0,0
data_benchmark/df1v.raw,Full execution time,1696,2,0,0
data_benchmark/hd01.raw,Full execution time,2172,2,0,0
data_benchmark/hd02.raw,Full execution time,2389,2,0,0
data_benchmark/hd07.raw,Full execution time,2461,2,0,0
data_benchmark/hd08.raw,Full execution time,2532,2,0,0
data_benchmark/hd09.raw,Full execution time,3034,2,0,0
data_benchmark/hd12.raw,Full execution time,2563,2,0,0
data_benchmark/nk01.raw,Full execution time,2673,2,0,0
data_benchmark/df1h.raw,Full execution time,2615,4,0,0
data_benchmark/df1hvx.raw,Full execution time,2146,4,0,0
data_benchmark/df1v.raw,Full execution time,1576,4,0,0
data_benchmark/hd01.raw,Full execution time,2231,4,0,0
data_benchmark/hd02.raw,Full execution time,2143,4,0,0
data_benchmark/hd07.raw,Full execution time,2329,4,0,0
data_benchmark/hd08.raw,Full execution time,2077,4,0,0
data_benchmark/hd09.raw,Full execution time,2462,4,0,0
data_benchmark/hd12.raw,Full execution time,2356,4,0,0
data_benchmark/nk01.raw,Full execution time,2544,4,0,0
data_benchmark/df1h.raw,Full execution time,2525,8,0,0
data_benchmark/df1hvx.raw,Full execution time,1805,8,0,0
data_benchmark/df1v.raw,Full execution time,1662,8,0,0
data_benchmark/hd01.raw,Full execution time,2010,8,0,0
data_benchmark/hd02.raw,Full execution time,1821,8,0,0
data_benchmark/hd07.raw,Full execution time,1872,8,0,0
data_benchmark/hd08.raw,Full execution time,1979,8,0,0
data_benchmark/hd09.raw,Full execution time,2270,8,0,0
data_benchmark/hd12.raw,Full execution time,1899,8,0,0
data_benchmark/nk01.raw,Full execution time,2083,8,0,0
data_benchmark/df1h.raw,Full execution time,2886,16,0,0
data_benchmark/df1hvx.raw,Full execution time,1971,16,0,0
data_benchmark/df1v.raw,Full execution time,1787,16,0,0
data_benchmark/hd01.raw,Full execution time,1969,16,0,0
data_benchmark/hd02.raw,Full execution time,2080,16,0,0
data_benchmark/hd07.raw,Full execution time,2068,16,0,0
data_benchmark/hd08.raw,Full execution time,2048,16,0,0
data_benchmark/hd09.raw,Full execution time,2354,16,0,0
data_benchmark/hd12.raw,Full execution time,2726,16,0,0
data_benchmark/nk01.raw,Full execution time,2220,16,0,0
data_benchmark/df1h.raw,Full execution time,3633,32,0,0
data_benchmark/df1hvx.raw,Full execution time,3692,32,0,0
data_benchmark/df1v.raw,Full execution time,26903,32,0,0
data_benchmark/hd01.raw,Full execution time,4745,32,0,0
data_benchmark/hd02.raw,Full execution time,4927,32,0,0
data_benchmark/hd07.raw,Full execution time,27176,32,0,0
data_benchmark/hd08.raw,Full execution time,3696,32,0,0
data_benchmark/hd09.raw,Full execution time,27533,32,0,0
data_benchmark/hd12.raw,Full execution time,5430,32,0,0
data_benchmark/nk01.raw,Full execution time,27489,32,0,0
data_benchmark/df1h.raw,Full execution time,4281,1,1,0
data_benchmark/df1hvx.raw,Full execution time,4424,1,1,0
data_benchmark/df1v.raw,Full execution time,4405,1,1,0
data_benchmark/hd01.raw,Full execution time,4683,1,1,0
data_benchmark/hd02.raw,Full execution time,4445,1,1,0
data_benchmark/hd07.raw,Full execution time,5264,1,1,0
data_benchmark/hd08.raw,Full execution time,4762,1,1,0
data_benchmark/hd09.raw,Full execution time,5700,1,1,0
data_benchmark/hd12.raw,Full execution time,5321,1,1,0
data_benchmark/nk01.raw,Full execution time,5255,1,1,0
data_benchmark/df1h.raw,Full execution time,3091,2,1,0
data_benchmark/df1hvx.raw,Full execution time,2892,2,1,0
data_benchmark/df1v.raw,Full execution time,2879,2,1,0
data_benchmark/hd01.raw,Full execution time,3067,2,1,0
data_benchmark/hd02.raw,Full execution time,3003,2,1,0
data_benchmark/hd07.raw,Full execution time,3513,2,1,0
data_benchmark/hd08.raw,Full execution time,3284,2,1,0
data_benchmark/hd09.raw,Full execution time,3796,2,1,0
data_benchmark/hd12.raw,Full execution time,3684,2,1,0
data_benchmark/nk01.raw,Full execution time,3751,2,1,0
data_benchmark/df1h.raw,Full execution time,2170,4,1,0
data_benchmark/df1hvx.raw,Full execution time,2410,4,1,0
data_benchmark/df1v.raw,Full execution time,2450,4,1,0
data_benchmark/hd01.raw,Full execution time,2646,4,1,0
data_benchmark/hd02.raw,Full execution time,2495,4,1,0
data_benchmark/hd07.raw,Full execution time,2732,4,1,0
data_benchmark/hd08.raw,Full execution time,2627,4,1,0
data_benchmark/hd09.raw,Full execution time,2819,4,1,0
data_benchmark/hd12.raw,Full execution time,2635,4,1,0
data_benchmark/nk01.raw,Full execution time,2759,4,1,0
data_benchmark/df1h.raw,Full execution time,2142,8,1,0
data_benchmark/df1hvx.raw,Full execution time,2245,8,1,0
data_benchmark/df1v.raw,Full execution time,2526,8,1,0
data_benchmark/hd01.raw,Full execution time,2155,8,1,0
data_benchmark/hd02.raw,Full execution time,2451,8,1,0
data_benchmark/hd07.raw,Full execution time,2449,8,1,0
data_benchmark/hd08.raw,Full execution time,2442,8,1,0
data_benchmark/hd09.raw,Full execution time,2874,8,1,0
data_benchmark/hd12.raw,Full execution time,2783,8,1,0
data_benchmark/nk01.raw,Full execution time,2605,8,1,0
data_benchmark/df1h.raw,Full execution time,2431,16,1,0
data_benchmark/df1hvx.raw,Full execution time,2593,16,1,0
data_benchmark/df1v.raw,Full execution time,2329,16,1,0
