file_name,measurement_name,value,number_of_threads,adaptive,model
data_benchmark/df1h.raw,Write output file time,3665,1,0,0
data_benchmark/df1h.raw,RLE transform time,1476,1,0,0
data_benchmark/df1h.raw,Code table population time,3,1,0,0
data_benchmark/df1h.raw,Huffman tree build time,29,1,0,0
data_benchmark/df1h.raw,Histogram computation time,434,1,0,0
data_benchmark/df1h.raw,Read input file time,576,1,0,0
data_benchmark/df1hvx.raw,Write output file time,1843,1,0,0
data_benchmark/df1hvx.raw,RLE transform time,925,1,0,0
data_benchmark/df1hvx.raw,Code table population time,11,1,0,0
data_benchmark/df1hvx.raw,Huffman tree build time,10,1,0,0
data_benchmark/df1hvx.raw,Histogram computation time,446,1,0,0
data_benchmark/df1hvx.raw,Read input file time,590,1,0,0
data_benchmark/df1v.raw,Write output file time,773,1,0,0
data_benchmark/df1v.raw,RLE transform time,213,1,0,0
data_benchmark/df1v.raw,Code table population time,4,1,0,0
data_benchmark/df1v.raw,Huffman tree build time,29,1,0,0
data_benchmark/df1v.raw,Histogram computation time,484,1,0,0
data_benchmark/df1v.raw,Read input file time,608,1,0,0
data_benchmark/hd01.raw,Write output file time,1968,1,0,0
data_benchmark/hd01.raw,RLE transform time,791,1,0,0
data_benchmark/hd01.raw,Code table population time,4,1,0,0
data_benchmark/hd01.raw,Huffman tree build time,31,1,0,0
data_benchmark/hd01.raw,Histogram computation time,458,1,0,0
data_benchmark/hd01.raw,Read input file time,548,1,0,0
data_benchmark/hd02.raw,Write output file time,1715,1,0,0
data_benchmark/hd02.raw,RLE transform time,786,1,0,0
data_benchmark/hd02.raw,Code table population time,4,1,0,0
data_benchmark/hd02.raw,Huffman tree build time,32,1,0,0
data_benchmark/hd02.raw,Histogram computation time,471,1,0,0
data_benchmark/hd02.raw,Read input file time,516,1,0,0
data_benchmark/hd07.raw,Write output file time,2287,1,0,0
data_benchmark/hd07.raw,RLE transform time,1308,1,0,0
data_benchmark/hd07.raw,Code table population time,4,1,0,0
data_benchmark/hd07.raw,Huffman tree build time,35,1,0,0
data_benchmark/hd07.raw,Histogram computation time,486,1,0,0
data_benchmark/hd07.raw,Read input file time,603,1,0,0
data_benchmark/hd08.raw,Write output file time,2046,1,0,0
data_benchmark/hd08.raw,RLE transform time,1039,1,0,0
data_benchmark/hd08.raw,Code table population time,2,1,0,0
data_benchmark/hd08.raw,Huffman tree build time,9,1,0,0
data_benchmark/hd08.raw,Histogram computation time,449,1,0,0
data_benchmark/hd08.raw,Read input file time,654,1,0,0
data_benchmark/hd09.raw,Write output file time,2721,1,0,0
data_benchmark/hd09.raw,RLE transform time,1611,1,0,0
data_benchmark/hd09.raw,Code table population time,4,1,0,0
data_benchmark/hd09.raw,Huffman tree build time,31,1,0,0
data_benchmark/hd09.raw,Histogram computation time,450,1,0,0
data_benchmark/hd09.raw,Read input file time,579,1,0,0
data_benchmark/hd12.raw,Write output file time,3387,1,0,0
data_benchmark/hd12.raw,RLE transform time,1225,1,0,0
data_benchmark/hd12.raw,Code table population time,8,1,0,0
data_benchmark/hd12.raw,Huffman tree build time,32,1,0,0
data_benchmark/hd12.raw,Histogram computation time,441,1,0,0
data_benchmark/hd12.raw,Read input file time,550,1,0,0
data_benchmark/nk01.raw,Write output file time,4646,1,0,0
data_benchmark/nk01.raw,RLE transform time,1379,1,0,0
data_benchmark/nk01.raw,Code table population time,4,1,0,0
data_benchmark/nk01.raw,Huffman tree build time,33,1,0,0
data_benchmark/nk01.raw,Histogram computation time,443,1,0,0
data_benchmark/nk01.raw,Read input file time,505,1,0,0
data_benchmark/df1h.raw,Write output file time,4765,2,0,0
data_benchmark/df1h.raw,RLE transform time,770,2,0,0
data_benchmark/df1h.raw,Code table population time,4,2,0,0
data_benchmark/df1h.raw,Huffman tree build time,30,2,0,0
