file_name,measurement_name,value,number_of_threads,adaptive,model
compressed_files/df1hvx.raw,Static compression time,2430,1,0,0
compressed_files/df1v.raw,Static compression time,171,1,0,0
compressed_files/hd01.raw,Static compression time,1863,1,0,0
compressed_files/hd02.raw,Static compression time,1818,1,0,0
compressed_files/hd07.raw,Static compression time,3340,1,0,0
compressed_files/hd08.raw,Static compression time,2520,1,0,0
compressed_files/hd09.raw,Static compression time,4296,1,0,0
compressed_files/hd12.raw,Static compression time,3245,1,0,0
compressed_files/nk01.raw,Static compression time,4253,1,0,0
compressed_files/df1hvx.raw,Static compression time,1350,2,0,0
compressed_files/df1v.raw,Static compression time,93,2,0,0
compressed_files/hd01.raw,Static compression time,984,2,0,0
compressed_files/hd02.raw,Static compression time,938,2,0,0
compressed_files/hd07.raw,Static compression time,1620,2,0,0
compressed_files/hd08.raw,Static compression time,1527,2,0,0
compressed_files/hd09.raw,Static compression time,2153,2,0,0
compressed_files/hd12.raw,Static compression time,1692,2,0,0
compressed_files/nk01.raw,Static compression time,2270,2,0,0
compressed_files/df1hvx.raw,Static compression time,792,4,0,0
compressed_files/df1v.raw,Static compression time,79,4,0,0
compressed_files/hd01.raw,Static compression time,708,4,0,0
compressed_files/hd02.raw,Static compression time,702,4,0,0
compressed_files/hd07.raw,Static compression time,920,4,0,0
compressed_files/hd08.raw,Static compression time,899,4,0,0
compressed_files/hd09.raw,Static compression time,1385,4,0,0
compressed_files/hd12.raw,Static compression time,895,4,0,0
compressed_files/nk01.raw,Static compression time,1103,4,0,0
compressed_files/df1hvx.raw,Static compression time,430,8,0,0
compressed_files/df1v.raw,Static compression time,69,8,0,0
compressed_files/hd01.raw,Static compression time,449,8,0,0
compressed_files/hd02.raw,Static compression time,397,8,0,0
compressed_files/hd07.raw,Static compression time,705,8,0,0
compressed_files/hd08.raw,Static compression time,487,8,0,0
compressed_files/hd09.raw,Static compression time,665,8,0,0
compressed_files/hd12.raw,Static compression time,971,8,0,0
compressed_files/nk01.raw,Static compression time,664,8,0,0
compressed_files/df1hvx.raw,Static compression time,514,16,0,0
compressed_files/df1v.raw,Static compression time,101,16,0,0
compressed_files/hd01.raw,Static compression time,275,16,0,0
compressed_files/hd02.raw,Static compression time,290,16,0,0
compressed_files/hd07.raw,Static compression time,288,16,0,0
compressed_files/hd08.raw,Static compression time,297,16,0,0
compressed_files/hd09.raw,Static compression time,3680,16,0,0
compressed_files/hd12.raw,Static compression time,8990,16,0,0
compressed_files/nk01.raw,Static compression time,8996,16,0,0
compressed_files/df1hvx.raw,Static compression time,383,32,0,0
compressed_files/df1v.raw,Static compression time,432,32,0,0
compressed_files/hd01.raw,Static compression time,363,32,0,0
compressed_files/hd02.raw,Static compression time,521,32,0,0
compressed_files/hd07.raw,Static compression time,704,32,0,0
compressed_files/hd08.raw,Static compression time,432,32,0,0
compressed_files/hd09.raw,Static compression time,743,32,0,0
compressed_files/hd12.raw,Static compression time,490,32,0,0
compressed_files/nk01.raw,Static compression time,599,32,0,0
compressed_files/df1h.raw,Adaptive compression time,1435,1,0,0
compressed_files/df1hvx.raw,Adaptive compression time,2299,1,0,0
compressed_files/df1v.raw,Adaptive compression time,1849,1,0,0
compressed_files/hd01.raw,Adaptive compression time,2184,1,0,0
compressed_files/hd02.raw,Adaptive compression time,2437,1,0,0
compressed_files/hd07.raw,Adaptive compression time,3433,1,0,0
compressed_files/hd08.raw,Adaptive compression time,2757,1,0,0
compressed_files/hd09.raw,Adaptive compression time,4432,1,0,0
compressed_files/hd12.raw,Adaptive compression time,3851,1,0,0
compressed_files/nk01.raw,Adaptive compression time,4542,1,0,0
compressed_files/df1h.raw,Adaptive compression time,1284,2,0,0
compressed_files/df1hvx.raw,Adaptive compression time,1769,2,0,0
compressed_files/df1v.raw,Adaptive compression time,1322,2,0,0
compressed_files/hd01.raw,Adaptive compression time,1686,2,0,0
compressed_files/hd02.raw,Adaptive compression time,1610,2,0,0
compressed_files/hd07.raw,Adaptive compression time,2540,2,0,0
compressed_files/hd08.raw,Adaptive compression time,2139,2,0,0
compressed_files/hd09.raw,Adaptive compression time,2709,2,0,0
compressed_files/hd12.raw,Adaptive compression time,2306,2,0,0
compressed_files/nk01.raw,Adaptive compression time,2770,2,0,0
compressed_files/df1h.raw,Adaptive compression time,1030,4,0,0
compressed_files/df1hvx.raw,Adaptive compression time,1454,4,0,0
compressed_files/df1v.raw,Adaptive compression time,1653,4,0,0
compressed_files/hd01.raw,Adaptive compression time,1634,4,0,0
compressed_files/hd02.raw,Adaptive compression time,1629,4,0,0
compressed_files/hd07.raw,Adaptive compression time,1694,4,0,0
compressed_files/hd08.raw,Adaptive compression time,1864,4,0,0
compressed_files/hd09.raw,Adaptive compression time,2398,4,0,0
compressed_files/hd12.raw,Adaptive compression time,1604,4,0,0
compressed_files/nk01.raw,Adaptive compression time,2567,4,0,0
compressed_files/df1h.raw,Adaptive compression time,1421,8,0,0
compressed_files/df1hvx.raw,Adaptive compression time,2308,8,0,0
compressed_files/df1v.raw,Adaptive compression time,2002,8,0,0
compressed_files/hd01.raw,Adaptive compression time,2344,8,0,0
compressed_files/hd02.raw,Adaptive compression time,2396,8,0,0
compressed_files/hd07.raw,Adaptive compression time,2641,8,0,0
compressed_files/hd08.raw,Adaptive compression time,2351,8,0,0
compressed_files/hd09.raw,Adaptive compression time,3142,8,0,0
compressed_files/hd12.raw,Adaptive compression time,2358,8,0,0
compressed_files/nk01.raw,Adaptive compression time,3969,8,0,0
compressed_files/df1h.raw,Adaptive compression time,4143,16,0,0
compressed_files/df1hvx.raw,Adaptive compression time,12961,16,0,0
compressed_files/df1v.raw,Adaptive compression time,4151,16,0,0
compressed_files/hd01.raw,Adaptive compression time,3892,16,0,0
compressed_files/hd02.raw,Adaptive compression time,12999,16,0,0
compressed_files/hd07.raw,Adaptive compression time,17991,16,0,0
compressed_files/hd08.raw,Adaptive compression time,4913,16,0,0
compressed_files/hd09.raw,Adaptive compression time,7988,16,0,0
compressed_files/hd12.raw,Adaptive compression time,3995,16,0,0
compressed_files/nk01.raw,Adaptive compression time,4240,16,0,0
compressed_files/df1h.raw,Adaptive compression time,5386,32,0,0
compressed_files/df1hvx.raw,Adaptive compression time,3789,32,0,0
compressed_files/df1v.raw,Adaptive compression time,3343,32,0,0
compressed_files/hd01.raw,Adaptive compression time,3421,32,0,0
compressed_files/hd02.raw,Adaptive compression time,3666,32,0,0
compressed_files/hd07.raw,Adaptive compression time,5434,32,0,0
compressed_files/hd08.raw,Adaptive compression time,3644,32,0,0
compressed_files/hd09.raw,Adaptive compression time,3665,32,0,0
compressed_files/hd12.raw,Adaptive compression time,3485,32,0,0
compressed_files/nk01.raw,Adaptive compression time,3972,32,0,0
compressed_files/df1h.raw,Static compression with model time,354,1,0,0
compressed_files/df1hvx.raw,Static compression with model time,1674,1,0,0
compressed_files/df1v.raw,Static compression with model time,398,1,0,0
compressed_files/hd01.raw,Static compression with model time,2107,1,0,0
compressed_files/hd02.raw,Static compression with model time,2048,1,0,0
compressed_files/hd07.raw,Static compression with model time,3356,1,0,0
compressed_files/hd08.raw,Static compression with model time,2726,1,0,0
compressed_files/hd09.raw,Static compression with model time,4420,1,0,0
compressed_files/hd12.raw,Static compression with model time,3407,1,0,0
compressed_files/nk01.raw,Static compression with model time,4560,1,0,0
compressed_files/df1h.raw,Static compression with model time,319,2,0,0
compressed_files/df1hvx.raw,Static compression with model time,890,2,0,0
compressed_files/df1v.raw,Static compression with model time,233,2,0,0
compressed_files/hd01.raw,Static compression with model time,1215,2,0,0
compressed_files/hd02.raw,Static compression with model time,1073,2,0,0
compressed_files/hd07.raw,Static compression with model time,1741,2,0,0
compressed_files/hd08.raw,Static compression with model time,1638,2,0,0
compressed_files/hd09.raw,Static compression with model time,2269,2,0,0
compressed_files/hd12.raw,Static compression with model time,2077,2,0,0
compressed_files/nk01.raw,Static compression with model time,2244,2,0,0
compressed_files/df1h.raw,Static compression with model time,169,4,0,0
compressed_files/df1hvx.raw,Static compression with model time,613,4,0,0
compressed_files/df1v.raw,Static compression with model time,278,4,0,0
compressed_files/hd01.raw,Static compression with model time,888,4,0,0
compressed_files/hd02.raw,Static compression with model time,795,4,0,0
