file_name,measurement_name,value,number_of_threads,adaptive,model
compressed_files/df1hvx.raw,Write output file time,3321,1,0,0
compressed_files/df1hvx.raw,RLE transform time,2434,1,0,0
compressed_files/df1hvx.raw,Read input file time,691,1,0,0
compressed_files/df1hvx.raw,Huffman tree build time,6,1,0,0
compressed_files/df1v.raw,Write output file time,3505,1,0,0
compressed_files/df1v.raw,RLE transform time,182,1,0,0
compressed_files/df1v.raw,Read input file time,660,1,0,0
compressed_files/df1v.raw,Huffman tree build time,1,1,0,0
compressed_files/hd01.raw,Write output file time,3162,1,0,0
compressed_files/hd01.raw,RLE transform time,2304,1,0,0
compressed_files/hd01.raw,Read input file time,660,1,0,0
compressed_files/hd01.raw,Huffman tree build time,4,1,0,0
compressed_files/hd02.raw,Write output file time,4107,1,0,0
compressed_files/hd02.raw,RLE transform time,1784,1,0,0
compressed_files/hd02.raw,Read input file time,585,1,0,0
compressed_files/hd02.raw,Huffman tree build time,6,1,0,0
compressed_files/hd07.raw,Write output file time,3753,1,0,0
compressed_files/hd07.raw,RLE transform time,3176,1,0,0
compressed_files/hd07.raw,Read input file time,666,1,0,0
compressed_files/hd07.raw,Huffman tree build time,4,1,0,0
compressed_files/hd08.raw,Write output file time,3031,1,0,0
compressed_files/hd08.raw,RLE transform time,2486,1,0,0
compressed_files/hd08.raw,Read input file time,611,1,0,0
compressed_files/hd08.raw,Huffman tree build time,3,1,0,0
compressed_files/hd09.raw,Write output file time,3653,1,0,0
compressed_files/hd09.raw,RLE transform time,4213,1,0,0
compressed_files/hd09.raw,Read input file time,690,1,0,0
compressed_files/hd09.raw,Huffman tree build time,4,1,0,0
compressed_files/hd12.raw,Write output file time,5694,1,0,0
compressed_files/hd12.raw,RLE transform time,3204,1,0,0
compressed_files/hd12.raw,Read input file time,1837,1,0,0
compressed_files/hd12.raw,Huffman tree build time,4,1,0,0
compressed_files/nk01.raw,Write output file time,3646,1,0,0
compressed_files/nk01.raw,RLE transform time,4446,1,0,0
compressed_files/nk01.raw,Read input file time,855,1,0,0
compressed_files/nk01.raw,Huffman tree build time,6,1,0,0
compressed_files/df1hvx.raw,Write output file time,5015,2,0,0
compressed_files/df1hvx.raw,RLE transform time,1366,2,0,0
compressed_files/df1hvx.raw,Read input file time,1479,2,0,0
compressed_files/df1hvx.raw,Huffman tree build time,3,2,0,0
compressed_files/df1v.raw,Write output file time,3969,2,0,0
compressed_files/df1v.raw,RLE transform time,116,2,0,0
compressed_files/df1v.raw,Read input file time,625,2,0,0
compressed_files/df1v.raw,Huffman tree build time,1,2,0,0
compressed_files/hd01.raw,Write output file time,4447,2,0,0
compressed_files/hd01.raw,RLE transform time,1134,2,0,0
compressed_files/hd01.raw,Read input file time,1583,2,0,0
compressed_files/hd01.raw,Huffman tree build time,4,2,0,0
compressed_files/hd02.raw,Write output file time,3648,2,0,0
compressed_files/hd02.raw,RLE transform time,918,2,0,0
compressed_files/hd02.raw,Read input file time,830,2,0,0
compressed_files/hd02.raw,Huffman tree build time,6,2,0,0
compressed_files/hd07.raw,Write output file time,5119,2,0,0
compressed_files/hd07.raw,RLE transform time,1607,2,0,0
compressed_files/hd07.raw,Read input file time,1766,2,0,0
compressed_files/hd07.raw,Huffman tree build time,7,2,0,0
compressed_files/hd08.raw,Write output file time,4499,2,0,0
compressed_files/hd08.raw,RLE transform time,1511,2,0,0
compressed_files/hd08.raw,Read input file time,1713,2,0,0
compressed_files/hd08.raw,Huffman tree build time,3,2,0,0
compressed_files/hd09.raw,Write output file time,3867,2,0,0
compressed_files/hd09.raw,RLE transform time,2551,2,0,0
compressed_files/hd09.raw,Read input file time,1065,2,0,0
