file_name,measurement_name,value,number_of_threads,adaptive,model
data_benchmark/df1h.raw,Compressed file size,262145,1,0,0
data_benchmark/df1h.raw,Compressed data size,262144,1,0,0
data_benchmark/df1h.raw,Block types byte size,0,1,0,0
data_benchmark/df1h.raw,Compressed depth maps size,2,1,0,0
data_benchmark/df1h.raw,Header size,1,1,0,0
data_benchmark/df1h.raw,Uncompressed file size,262144,1,0,0
data_benchmark/df1hvx.raw,Compressed file size,93740,1,0,0
data_benchmark/df1hvx.raw,Compressed data size,93690,1,0,0
data_benchmark/df1hvx.raw,Block types byte size,0,1,0,0
data_benchmark/df1hvx.raw,Compressed depth maps size,43,1,0,0
data_benchmark/df1hvx.raw,Header size,9,1,0,0
data_benchmark/df1hvx.raw,Uncompressed file size,262144,1,0,0
data_benchmark/df1v.raw,Compressed file size,2528,1,0,0
data_benchmark/df1v.raw,Compressed data size,2498,1,0,0
data_benchmark/df1v.raw,Block types byte size,0,1,0,0
data_benchmark/df1v.raw,Compressed depth maps size,23,1,0,0
data_benchmark/df1v.raw,Header size,9,1,0,0
data_benchmark/df1v.raw,Uncompressed file size,262144,1,0,0
data_benchmark/hd01.raw,Compressed file size,112235,1,0,0
data_benchmark/hd01.raw,Compressed data size,112192,1,0,0
data_benchmark/hd01.raw,Block types byte size,0,1,0,0
data_benchmark/hd01.raw,Compressed depth maps size,36,1,0,0
data_benchmark/hd01.raw,Header size,9,1,0,0
data_benchmark/hd01.raw,Uncompressed file size,262144,1,0,0
data_benchmark/hd02.raw,Compressed file size,107433,1,0,0
data_benchmark/hd02.raw,Compressed data size,107388,1,0,0
data_benchmark/hd02.raw,Block types byte size,0,1,0,0
data_benchmark/hd02.raw,Compressed depth maps size,38,1,0,0
data_benchmark/hd02.raw,Header size,9,1,0,0
data_benchmark/hd02.raw,Uncompressed file size,262144,1,0,0
data_benchmark/hd07.raw,Compressed file size,163397,1,0,0
data_benchmark/hd07.raw,Compressed data size,163342,1,0,0
data_benchmark/hd07.raw,Block types byte size,0,1,0,0
data_benchmark/hd07.raw,Compressed depth maps size,48,1,0,0
